Name,Type
fruehschwarzer,Red
fruhblauer,Red
gamais,Red
genetin de st menin,Red
gentil noir,Red
glaevinger,Red
glasschwarz,Red
gribalet noir,Red
grobes suesschwarz,Red
grosse burgunder,Red
grosse fruehschwarze,Red
gut blau,Red
gutblau,Red
jakabszoeloe,Red
karapino,Red
kek burgundi,Red
kek kisburgundi,Red
kek klevner,Red
kek rulandi,Red
kis burgundi,Red
kis burgundikek,Red
kisburgundi kek,Red
kisburgundikek,Red
klaevner,Red
klaevner schwarz,Red
klebrot,Red
klebroth,Red
klebrott,Red
kleine burgunder,Red
kleiner burgunder,Red
kleinrot,Red
kleinroth,Red
klevinger,Red
klevner,Red
klevner kek,Red
klevner schwarzblau,Red
korai kekburgundi,Red
langedet,Red
maehrchen,Red
malterdinger,Red
maltertinger,Red
maria feld,Red
marillon n,Red
massoutel,Red
massoutet,Red
maurillon,Red
mensois,Red
modra burgunda,Red
modra klevanja,Red
modra klevanjka,Red
modra klevanyka,Red
modri pinot,Red
moehrchen,Red
mohrenkoenigin,Red
mohrenkoenigin fruehblaue,Red
mor burgunder,Red
moreote noir,Red
moreotische traube,Red
morillon,Red
morillon noir,Red
nagyburgundi,Red
nere,Red
neyran,Red
neyron petit,Red
noble,Red
noble joue,Red
noir de franconier,Red
noir de versitch,Red
noir menu,Red
noir meun,Red
noiried,Red
noirien,Red
noirien franc,Red
noirien ternent,Red
noirin,Red
noirun,Red
okrugla ranka,Red
ordinaerer blauer,Red
ordinaerer rother,Red
orleans,Red
petit noir,Red
petit noirin,Red
petit plant dore,Red
petit verot,Red
pignol,Red
pignola,Red
pignolet,Red
pignoliga,Red
pignolo,Red
pignuola,Red
pimbart,Red
pineau,Red
pineau de bourgogne,Red
pineau de bourgoyne,Red
pineau de chambertin,Red
pineau de gevrey,Red
pineau franc,Red
pineau noir,Red
pino black,Red
pino ceren,Red
pino cernii,Red
pino cheren,Red
pino chernyi,Red
pino chernyj,Red
pino corni,Red
pino cornij,Red
pino fran,Red
pino go,Red
pino negru,Red
pino nero,Red
pino nuar,Red
pino qo,Red
pinot,Red
pinot cernii,Red
pinot clevner cl maria- feld,Red
pinot crni,Red
pinot d'ay,Red
pinot de chambertin,Red
pinot de fleury,Red
pinot de gevrey,Red
pinot de migraine,Red
pinot droit,Red
pinot fin,Red
pinot franc noir,Red
pinot mare,Red
pinot mariafeld,Red
pinot negru,Red
pinot nera,Red
pinot nero,Red
pinot noar,Red
pinot noir cortaillod,Red
pinot noir cortaillod 9-18,Red
pinot noir salvagnin,Red
pinot salvagnin,Red
pinot tinto,Red
plack morillon,Red
plant a bon vin,Red
plant dae,Red
plant de cumieres,Red
plant de la dole noir,Red
plant de s martin,Red
plant dore,Red
plant fin,Red
plant medaille,Red
plant noble,Red
pynoz,Red
qara pino,Red
raisin de bourgogne,Red
raucy,Red
raucy male,Red
roter assmannhaeuser,Red
roter assmannshaeuser,Red
roter burgunder,Red
rother,Red
rother assmannshaeuser,Red
rother burgunder,Red
rouci,Red
rouci male,Red
rouci modre,Red
roucimodre,Red
rouget,Red
rulandske modre,Red
salvagnin,Red
